log_id,user_id,char_id,route_id,status,actual_profit,created_at
L00000,U0077,C001,R03,Completed,750,2026-04-27 19:00:00
L00001,U0075,C002,R02,Completed,1000,2026-04-04 22:00:00
L00002,U0029,C001,R01,Completed,2250,2026-04-04 09:00:00
L00003,U0093,C001,R03,Completed,750,2026-04-23 19:00:00
L00004,U0093,C003,R01,Completed,1575,2026-04-18 10:00:00
L00005,U0037,C004,R03,Completed,575,2026-04-14 11:00:00
L00006,U0077,C003,R03,Completed,525,2026-04-10 12:00:00
L00007,U0017,C002,R02,Failed,0,2026-04-22 12:00:00
L00008,U0019,C001,R02,Completed,1200,2026-04-15 09:00:00
L00009,U0059,C002,R03,Completed,625,2026-04-13 23:00:00
L00010,U0093,C004,R01,Completed,1724,2026-04-21 14:00:00
L00011,U0028,C001,R02,Completed,1200,2026-04-30 01:00:00
L00012,U0069,C003,R03,Completed,525,2026-04-11 07:00:00
L00013,U0043,C003,R02,Completed,840,2026-04-08 19:00:00
L00014,U0010,C001,R02,Completed,1200,2026-04-24 16:00:00
L00015,U0013,C001,R02,Completed,1200,2026-04-18 06:00:00
L00016,U0054,C002,R02,Completed,1000,2026-04-05 00:00:00
L00017,U0094,C001,R01,Completed,2250,2026-04-28 05:00:00
L00018,U0099,C002,R02,Completed,1000,2026-04-23 05:00:00
L00019,U0060,C001,R03,Completed,750,2026-04-07 14:00:00
L00020,U0054,C002,R02,Completed,1000,2026-04-29 04:00:00
L00021,U0044,C004,R01,Completed,1724,2026-04-22 01:00:00
L00022,U0049,C003,R01,Completed,1575,2026-04-02 07:00:00
L00023,U0074,C001,R02,Completed,1200,2026-04-06 00:00:00
L00024,U0019,C004,R01,Completed,1724,2026-04-22 14:00:00
L00025,U0005,C001,R03,Failed,0,2026-04-12 21:00:00
L00026,U0057,C004,R01,Failed,0,2026-04-12 05:00:00
L00027,U0013,C001,R02,Completed,1200,2026-04-28 02:00:00
L00028,U0058,C001,R02,Completed,1200,2026-04-06 15:00:00
L00029,U0042,C002,R01,Completed,1875,2026-04-19 08:00:00
L00030,U0100,C004,R01,Completed,1724,2026-04-25 22:00:00
L00031,U0005,C002,R03,Completed,625,2026-04-24 04:00:00
L00032,U0059,C002,R01,Completed,1875,2026-04-02 15:00:00
L00033,U0084,C004,R01,Completed,1724,2026-04-24 04:00:00
L00034,U0042,C002,R02,Completed,1000,2026-04-05 01:00:00
L00035,U0006,C001,R01,Completed,2250,2026-04-20 23:00:00
L00036,U0037,C001,R01,Completed,2250,2026-04-07 19:00:00
L00037,U0099,C001,R03,Completed,750,2026-04-27 11:00:00
L00038,U0031,C001,R01,Failed,0,2026-04-06 20:00:00
L00039,U0078,C004,R02,Completed,919,2026-04-13 21:00:00
L00040,U0066,C002,R02,Completed,1000,2026-04-16 10:00:00
L00041,U0098,C002,R03,Completed,625,2026-04-24 08:00:00
L00042,U0082,C004,R01,Completed,1724,2026-04-29 12:00:00
L00043,U0036,C004,R03,Completed,575,2026-04-09 06:00:00
L00044,U0073,C002,R01,Completed,1875,2026-04-18 16:00:00
L00045,U0085,C003,R02,Completed,840,2026-04-28 04:00:00
L00046,U0086,C004,R03,Completed,575,2026-04-03 18:00:00
L00047,U0049,C004,R02,Failed,0,2026-04-26 20:00:00
L00048,U0097,C004,R02,Completed,919,2026-04-27 12:00:00
L00049,U0029,C003,R02,Completed,840,2026-04-03 03:00:00
L00050,U0081,C002,R01,Completed,1875,2026-04-13 08:00:00
L00051,U0062,C003,R02,Completed,840,2026-04-05 04:00:00
L00052,U0060,C003,R03,Completed,525,2026-04-14 14:00:00
