user_id,register_date,vip_level
U0001,2026-01-01,0
U0002,2026-01-01,2
U0003,2026-01-01,1
U0004,2026-01-01,4
U0005,2026-01-01,2
U0006,2026-01-01,3
U0007,2026-01-01,5
U0008,2026-01-01,0
U0009,2026-01-01,4
U0010,2026-01-01,3
U0011,2026-01-01,0
U0012,2026-01-01,5
U0013,2026-01-01,0
U0014,2026-01-01,4
U0015,2026-01-01,2
U0016,2026-01-01,3
U0017,2026-01-01,4
U0018,2026-01-01,1
U0019,2026-01-01,5
U0020,2026-01-01,1
U0021,2026-01-01,5
U0022,2026-01-01,2
U0023,2026-01-01,0
U0024,2026-01-01,1
U0025,2026-01-01,0
U0026,2026-01-01,4
U0027,2026-01-01,5
U0028,2026-01-01,3
U0029,2026-01-01,3
U0030,2026-01-01,3
U0031,2026-01-01,2
U0032,2026-01-01,0
U0033,2026-01-01,5
U0034,2026-01-01,4
U0035,2026-01-01,4
U0036,2026-01-01,5
U0037,2026-01-01,0
U0038,2026-01-01,3
U0039,2026-01-01,3
U0040,2026-01-01,2
U0041,2026-01-01,1
U0042,2026-01-01,4
U0043,2026-01-01,4
U0044,2026-01-01,2
U0045,2026-01-01,4
U0046,2026-01-01,2
U0047,2026-01-01,0
U0048,2026-01-01,3
U0049,2026-01-01,0
U0050,2026-01-01,0
U0051,2026-01-01,0
U0052,2026-01-01,2
U0053,2026-01-01,0
U0054,2026-01-01,5
U0055,2026-01-01,2
U0056,2026-01-01,2
U0057,2026-01-01,3
U0058,2026-01-01,4
U0059,2026-01-01,0
U0060,2026-01-01,5
U0061,2026-01-01,3
U0062,2026-01-01,2
U0063,2026-01-01,5
U0064,2026-01-01,3
U0065,2026-01-01,5
U0066,2026-01-01,2
U0067,2026-01-01,3
U0068,2026-01-01,4
U0069,2026-01-01,5
U0070,2026-01-01,3
U0071,2026-01-01,3
U0072,2026-01-01,3
U0073,2026-01-01,5
U0074,2026-01-01,4
U0075,2026-01-01,0
U0076,2026-01-01,4
U0077,2026-01-01,5
U0078,2026-01-01,4
U0079,2026-01-01,4
U0080,2026-01-01,1
U0081,2026-01-01,0
U0082,2026-01-01,4
U0083,2026-01-01,4
U0084,2026-01-01,5
U0085,2026-01-01,2
U0086,2026-01-01,1
U0087,2026-01-01,0
U0088,2026-01-01,5
U0089,2026-01-01,4
U0090,2026-01-01,4
U0091,2026-01-01,5
U0092,2026-01-01,1
U0093,2026-01-01,1
U0094,2026-01-01,3
U0095,2026-01-01,3
U0096,2026-01-01,4
U0097,2026-01-01,3
U0098,2026-01-01,2
U0099,2026-01-01,1
U0100,2026-01-01,4
